year,region,govt_schools,nongovt_schools,total_schools,enrolment_f1f4,total_teachers,schools_with_electricity,pct_schools_electricity,desktop_computers,laptop_computers,projectors,enrolment_for_dropout,total_dropouts,dropout_rate_regional,pupil_book_ratio,disability_enrolment,csee_div1_pct,infra_imputed_2020,ptr_regional,desktops_per_school,teachers_per_school,nongovt_share,enrolment_per_school,laptops_per_school,csee_pass_rate,csee_fail_rate,csee_candidates,dropout_rate_pct,gross_completion_rate,total_teachers_national,qualified_teachers_national,qualified_teacher_ratio,ptr_national
2022,MOROGORO,210,66,276,151354,5724,276.0,76.0869565217391,1719.0,445.0,290.0,140380.0,3.39720757942727,0.0024,,16.0,7.25,0,26.44,6.23,20.74,0.2391,548.4,1.61,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,MOROGORO,232,67,299,163406,6015,299.0,76.5886287625418,1257.0,415.0,254.0,151354.0,3.1436235580163063,0.0021,,14.0,8.05,0,27.17,4.2,20.12,0.2241,546.5,1.39,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,MOROGORO,247,69,316,173932,6297,316.0,79.4303797468354,1742.0,518.0,388.0,163406.0,3.31077194227874,0.002,,14.0,,0,27.62,5.51,19.93,0.2184,550.4,1.64,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,MTWARA,140,13,153,61800,2443,,61.0062893081761,601.0,166.0,108.0,,3.0,,,2.0,7.19,1,25.3,3.93,15.97,0.085,403.9,1.08,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,MTWARA,146,13,159,67052,2466,159.0,61.0062893081761,601.0,166.0,108.0,61800.0,7.40614886731392,0.012,,2.0,6.57,0,27.19,3.78,15.51,0.0818,421.7,1.04,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,MTWARA,151,13,164,72939,2458,164.0,65.8536585365854,644.0,181.0,108.0,67052.0,6.2339676668854,0.0093,,2.0,7.25,0,29.67,3.93,14.99,0.0793,444.8,1.1,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,MTWARA,166,13,179,77875,2570,179.0,65.9217877094972,573.0,165.0,110.0,72939.0,7.901122856085221,0.0108,,4.0,8.05,0,30.3,3.2,14.36,0.0726,435.1,0.92,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,MTWARA,179,14,193,80302,2631,193.0,67.8756476683938,795.0,219.0,161.0,77875.0,8.82568218298555,0.0113,,4.0,,0,30.52,4.12,13.63,0.0725,416.1,1.13,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,MWANZA,211,82,293,186267,6820,,76.8976897689769,1529.0,422.0,296.0,,6.0,,,1.0,7.19,1,27.31,5.22,23.28,0.2799,635.7,1.44,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,MWANZA,220,83,303,201358,6851,303.0,76.8976897689769,1529.0,422.0,296.0,186267.0,4.56548932446434,0.0025,,1.0,6.57,0,29.39,5.05,22.61,0.2739,664.5,1.39,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,MWANZA,235,83,318,211744,6872,318.0,77.6729559748428,1496.0,439.0,333.0,201358.0,4.96329919844258,0.0025,,5.0,7.25,0,30.81,4.7,21.61,0.261,665.9,1.38,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,MWANZA,250,88,338,237677,7193,338.0,80.1775147928994,1289.0,411.0,291.0,211744.0,4.296225630950582,0.002,,10.0,8.05,0,33.04,3.81,21.28,0.2604,703.2,1.22,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,MWANZA,272,86,358,251929,7536,358.0,85.4748603351955,1534.0,555.0,394.0,237677.0,4.24020834998759,0.0018,,28.0,,0,33.43,4.28,21.05,0.2402,703.7,1.55,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,NJOMBE,88,35,123,52524,2809,,72.8682170542636,782.0,338.0,151.0,,3.0,,,1.0,7.19,1,18.7,6.36,22.84,0.2846,427.0,2.75,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,NJOMBE,90,39,129,55108,2814,129.0,72.8682170542636,782.0,338.0,151.0,52524.0,4.58457086284365,0.0087,,1.0,6.57,0,19.58,6.06,21.81,0.3023,427.2,2.62,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,NJOMBE,96,43,139,57241,2866,139.0,72.6618705035971,968.0,309.0,166.0,55108.0,4.1663642302388,0.0076,,2.0,7.25,0,19.97,6.96,20.62,0.3094,411.8,2.22,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,NJOMBE,103,43,146,59508,2882,146.0,71.9178082191781,798.0,291.0,138.0,57241.0,3.8032179731311477,0.0066,,3.0,8.05,0,20.65,5.47,19.74,0.2945,407.6,1.99,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,NJOMBE,110,44,154,64543,2925,154.0,76.6233766233766,1058.0,358.0,208.0,59508.0,3.42811050615043,0.0058,,3.0,,0,22.07,6.87,18.99,0.2857,419.1,2.32,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,PWANI,119,74,193,94779,4989,,85.5,2075.0,462.0,220.0,,4.0,,,5.0,7.19,1,19.0,10.75,25.85,0.3834,491.1,2.39,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,PWANI,125,75,200,109578,5095,200.0,85.5,2075.0,462.0,220.0,94779.0,2.33912575570538,0.0025,,5.0,6.57,0,21.51,10.38,25.48,0.375,547.9,2.31,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,PWANI,137,82,219,122860,5280,219.0,88.1278538812785,1934.0,486.0,248.0,109578.0,2.4338827136834,0.0022,,14.0,7.25,0,23.27,8.83,24.11,0.3744,561.0,2.22,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,PWANI,162,84,246,136855,5591,246.0,84.5528455284553,1901.0,431.0,217.0,122860.0,3.7131694611753217,0.003,,28.0,8.05,0,24.48,7.73,22.73,0.3415,556.3,1.75,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,PWANI,176,88,264,149693,5936,264.0,85.2272727272727,2385.0,683.0,321.0,136855.0,3.01852325453948,0.0022,,19.0,,0,25.22,9.03,22.48,0.3333,567.0,2.59,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
