year,region,govt_schools,nongovt_schools,total_schools,enrolment_f1f4,total_teachers,schools_with_electricity,pct_schools_electricity,desktop_computers,laptop_computers,projectors,enrolment_for_dropout,total_dropouts,dropout_rate_regional,pupil_book_ratio,disability_enrolment,csee_div1_pct,infra_imputed_2020,ptr_regional,desktops_per_school,teachers_per_school,nongovt_share,enrolment_per_school,laptops_per_school,csee_pass_rate,csee_fail_rate,csee_candidates,dropout_rate_pct,gross_completion_rate,total_teachers_national,qualified_teachers_national,qualified_teacher_ratio,ptr_national,csee_pass_rate_lag1,csee_pass_rate_lag2,ptr_national_lag1,ptr_national_lag2,gross_completion_rate_lag1,gross_completion_rate_lag2,pct_schools_electricity_lag1,pct_schools_electricity_lag2,dropout_rate_pct_lag1,dropout_rate_pct_lag2,enrolment_f1f4_lag1,enrolment_f1f4_lag2,total_teachers_lag1,total_teachers_lag2,csee_pass_rate_roll2,csee_pass_rate_roll3,ptr_national_roll2,ptr_national_roll3,dropout_rate_pct_roll2,dropout_rate_pct_roll3,gross_completion_rate_roll2,gross_completion_rate_roll3,pct_schools_electricity_roll2,pct_schools_electricity_roll3,enrolment_yoy_growth,teacher_yoy_growth,school_yoy_growth,electricity_yoy_growth,ict_yoy_growth,enrolment_teacher_growth_gap,infra_index,electricity_index,ict_index,dropout_burden,disability_inclusion_rate,year_index,log_enrolment,log_schools,teacher_quality_x_density,infra_x_teacher_quality,ptr_x_electricity,retention_pressure,education_quality_index,csee_cumulative_improvement
2020,IRINGA,115,66,181,81391,3907,,80.5405405405405,1417.0,643.0,206.0,,4.0,,,5.0,7.19,1,20.83,7.83,21.59,0.3646,449.7,3.55,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5,,,,,,,,,,,,,,,85.84,85.84,22.5,22.5,4.59,4.59,38.55,38.55,80.5405405405405,80.5405405405405,,,,,,,0.5636,0.8054,0.7423,0.0049,0.0614,0,11.307,5.204,21.3609,0.5576,18.1215,0.1191,0.5339,
2021,IRINGA,118,67,185,85902,3947,185.0,80.5405405405405,1417.0,643.0,206.0,81391.0,4.2830288361121,0.0053,,5.0,6.57,0,21.76,7.66,21.34,0.3622,464.3,3.48,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0,85.84,,22.5,,38.55,,80.5405405405405,,4.59,,81391.0,,3907.0,,86.57,86.57,22.75,22.75,4.5889907968689005,4.5889907968689005,39.0274420009529,39.0274420009529,80.5405405405405,80.5405405405405,0.0554,0.0102,0.0221,0.0,0.0,0.0452,0.5549,0.8054,0.7262,0.005,0.0582,1,11.361,5.2257,21.1622,0.5503,18.5242,0.1161,0.6594,1.4599999999999937
2022,IRINGA,122,69,191,88826,3997,191.0,83.7696335078534,1459.0,631.0,227.0,85902.0,4.44925612907732,0.0052,,7.0,7.25,0,22.22,7.64,20.93,0.3613,465.1,3.3,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0,87.3,85.84,23.0,22.5,39.5048840019058,38.55,80.5405405405405,80.5405405405405,4.5879815937378,4.59,85902.0,81391.0,3947.0,3907.0,87.545,86.97666666666667,23.5,23.166666666666668,4.738799356384185,4.689199570922789,39.1195417646367,38.9296945097578,82.15508702419694,81.61690486297813,0.034,0.0127,0.0324,0.0401,0.0296,0.021300000000000003,0.567,0.8377,0.7243,0.005,0.0788,2,11.3944,5.2575,20.7741,0.5628,20.1048,0.1262,0.408,1.9500000000000028
2023,IRINGA,129,68,197,94284,4116,197.0,86.8020304568528,1262.0,715.0,197.0,88826.0,3.9346587710805396,0.0044,,7.0,8.05,0,22.91,6.41,20.89,0.3452,478.6,3.63,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0,87.79,87.3,24.0,23.0,38.7341995273676,39.5048840019058,83.7696335078534,80.5405405405405,4.88961711903057,4.5879815937378,88826.0,85902.0,3997.0,3947.0,88.58000000000001,88.15333333333335,24.5,24.0,4.85863451429339,4.768416874108193,40.389665536359175,40.09473835820805,85.2858319823531,83.70406816841556,0.0614,0.0298,0.0314,0.0362,-0.135,0.0316,0.5542,0.868,0.6077,0.0042,0.0742,3,11.4541,5.2883,20.7654,0.5509,21.7,0.1148,0.6563,3.530000000000001
2024,IRINGA,137,69,206,98586,4235,206.0,92.7184466019417,1823.0,758.0,260.0,94284.0,4.28916889397989,0.0045,,4.0,,0,23.28,8.85,20.56,0.335,478.6,3.68,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0,89.37,87.79,25.0,24.0,42.04513154535075,38.7341995273676,86.8020304568528,83.7696335078534,4.82765190955621,4.88961711903057,94284.0,88826.0,4116.0,3997.0,89.37,88.58000000000001,25.5,25.0,4.82396388166662,4.845848294121271,41.71085453499957,40.71863619912225,89.76023852939724,87.76337018888263,0.0456,0.0289,0.0457,0.0682,0.4445,0.016700000000000003,0.6789,0.9272,0.839,0.0044,0.0406,4,11.4987,5.3327,20.4351,0.6748,24.1072,0.1165,0.5825,
2020,KAGERA,197,64,261,128000,4572,,78.2771535580524,1726.0,422.0,230.0,,4.0,,,2.0,7.19,1,28.0,6.61,17.52,0.2452,490.4,1.62,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5,,,,,,,,,,,,,,,85.84,85.84,22.5,22.5,4.59,4.59,38.55,38.55,78.2771535580524,78.2771535580524,,,,,,,0.4331,0.7828,0.6267,0.0031,0.0156,0,11.7598,5.5683,17.3341,0.4285,17.613,0.1191,0.5256,
2021,KAGERA,201,66,267,139106,4651,267.0,78.2771535580524,1726.0,422.0,230.0,128000.0,4.50859375,0.0035,,2.0,6.57,0,29.91,6.46,17.42,0.2472,521.0,1.58,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0,85.84,,22.5,,38.55,,78.2771535580524,,4.59,,128000.0,,4572.0,,86.57,86.57,22.75,22.75,4.5889907968689005,4.5889907968689005,39.0274420009529,39.0274420009529,78.2771535580524,78.2771535580524,0.0868,0.0173,0.023,0.0,0.0,0.0695,0.4262,0.7828,0.6124,0.0032,0.0144,1,11.843,5.591,17.2749,0.4226,18.0044,0.1161,0.6511,1.4599999999999937
2022,KAGERA,220,67,287,149248,4779,287.0,76.6550522648084,1630.0,577.0,251.0,139106.0,4.98468793581873,0.0036,,4.0,7.25,0,31.23,5.68,16.65,0.2334,520.0,2.01,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0,87.3,85.84,23.0,22.5,39.5048840019058,38.55,78.2771535580524,78.2771535580524,4.5879815937378,4.59,139106.0,128000.0,4651.0,4572.0,87.545,86.97666666666667,23.5,23.166666666666668,4.738799356384185,4.689199570922789,39.1195417646367,38.9296945097578,77.4661029114304,77.73645312697107,0.0729,0.0275,0.0749,-0.0207,-0.0556,0.04540000000000001,0.4049,0.7666,0.5385,0.0033,0.0268,2,11.9134,5.663,16.526,0.4019,18.3984,0.1262,0.382,1.9500000000000028
2023,KAGERA,230,68,298,164530,5029,298.0,77.5167785234899,1372.0,586.0,235.0,149248.0,4.552824828473414,0.0031,,142.0,8.05,0,32.72,4.6,16.88,0.2282,552.1,1.97,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0,87.79,87.3,24.0,23.0,38.7341995273676,39.5048840019058,76.6550522648084,78.2771535580524,4.88961711903057,4.5879815937378,149248.0,139106.0,4779.0,4651.0,88.58000000000001,88.15333333333335,24.5,24.0,4.85863451429339,4.768416874108193,40.389665536359175,40.09473835820805,77.08591539414915,77.4829947821169,0.1024,0.0523,0.0383,0.0112,-0.1583,0.050100000000000006,0.3702,0.7752,0.4361,0.0028,0.8631,3,12.0109,5.7004,16.7794,0.368,19.38,0.1148,0.6224,3.530000000000001
2024,KAGERA,243,70,313,181382,5205,313.0,80.1916932907348,1801.0,690.0,312.0,164530.0,5.14009603111895,0.0031,,11.0,,0,34.85,5.75,16.63,0.2236,579.5,2.2,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0,89.37,87.79,25.0,24.0,42.04513154535075,38.7341995273676,77.5167785234899,76.6550522648084,4.82765190955621,4.88961711903057,164530.0,149248.0,5029.0,4779.0,89.37,88.58000000000001,25.5,25.0,4.82396388166662,4.845848294121271,41.71085453499957,40.71863619912225,78.85423590711235,78.12117469301104,0.1024,0.035,0.0503,0.0345,0.3127,0.0674,0.4362,0.8019,0.5451,0.0028,0.0606,4,12.1084,5.7494,16.5289,0.4335,20.8494,0.1165,0.5367,
